Baker,true,Dinner Available at Seibel and North Serveries,""
FLO Paris,true,Open 9:00 am until 6:00 pm,""
FLO Paris,true,"Artisan coffees, espresso, lattes, mochas & cappuccinos",""
FLO Paris,true,"Sweet and savory crepes, assorted quiches",""
FLO Paris,true,Hot sandwiches with housemade French bread,""
FLO Paris,true,Delicious homemade soups and salads,""
FLO Paris,true,Specialty desserts and housemade macaroons,""
North,true,Chopped Barbecue Beef,""
North,true,Seasoned Waffle Fries,gluten soy vegan
North,true,Sweet Chile Chicken,soy
North,true,Cheese Enchiladas,gluten milk soy vegetarian
North,true,Black Beans and Fiesta Rice,vegan
North,true,Breaded Butterflied Shrimp,eggs gluten milk shellfish soy
North,true,Caesar Salad,eggs gluten milk soy vegetarian
Seibel,true,Chopped Barbecue Beef,""
Seibel,true,Waffle Fries,soy vegan
Seibel,true,Sweet Chile Chicken (Halal),""
Seibel,true,Cheese Enchiladas,gluten milk soy vegetarian
Seibel,true,Refried Black Beans and Fiesta Rice,vegan
Seibel,true,Grilled Chicken (Halal),""
Seibel,true,Fried Butterflied Shrimp,gluten shellfish soy
SidRich,true,Dinner available at North and Seibel Serveries,""
South,true,Dinner available at Seibel and North Serveries,""
West,true,dinner available at North and Seibel serveries,""
